	mixname	sr	samples
68	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-compressor-24.mp3	44100	4571136
69	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-compressor-25.mp3	44100	4605952
70	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-compressor-26.mp3	44100	4688896
71	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-compressor-27.mp3	44100	4697088
72	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-compressor-28.mp3	44100	4669440
73	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-compressor-29.mp3	44100	4642816
74	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-compressor-30.mp3	44100	4627456
75	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-compressor-31.mp3	44100	4636672
76	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-compressor-32.mp3	44100	4649984
77	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-compressor-33.mp3	44100	4610048
78	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-compressor-34.mp3	44100	4684800
79	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-compressor-35.mp3	44100	4647936
80	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-compressor-36.mp3	44100	4529152
81	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-compressor-37.mp3	44100	4540416
82	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-compressor-38.mp3	44100	4550656
83	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-compressor-39.mp3	44100	4483072
84	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-compressor-40.mp3	44100	4471808
85	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-compressor-41.mp3	44100	4530176
86	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-compressor-42.mp3	44100	4541440
87	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-compressor-43.mp3	44100	4721664
88	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-distortion-00.mp3	44100	4721664
89	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-distortion-01.mp3	44100	4774912
90	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-distortion-02.mp3	44100	4719616
91	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-distortion-03.mp3	44100	4713472
92	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-distortion-04.mp3	44100	4652032
93	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-distortion-05.mp3	44100	4516864
94	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-distortion-06.mp3	44100	4613120
95	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-distortion-07.mp3	44100	4526080
96	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-distortion-08.mp3	44100	4470784
97	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-distortion-09.mp3	44100	4481024
98	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-distortion-10.mp3	44100	4561920
99	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-distortion-11.mp3	44100	4638720
100	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-distortion-12.mp3	44100	4655104
101	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-distortion-13.mp3	44100	4666368
102	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-distortion-14.mp3	44100	4572160
103	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-distortion-15.mp3	44100	4604928
104	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-distortion-16.mp3	44100	4512768
105	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-distortion-17.mp3	44100	4592640
106	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-distortion-18.mp3	44100	4595712
107	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-distortion-19.mp3	44100	4661248
108	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-distortion-20.mp3	44100	4645888
109	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-distortion-21.mp3	44100	4583424
110	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-distortion-22.mp3	44100	4618240
111	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-distortion-23.mp3	44100	4566016
112	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-distortion-24.mp3	44100	4571136
113	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-distortion-25.mp3	44100	4605952
114	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-distortion-26.mp3	44100	4688896
115	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-distortion-27.mp3	44100	4697088
116	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-distortion-28.mp3	44100	4669440
117	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-distortion-29.mp3	44100	4642816
118	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-distortion-30.mp3	44100	4627456
119	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-distortion-31.mp3	44100	4636672
120	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-distortion-32.mp3	44100	4649984
121	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-distortion-33.mp3	44100	4610048
122	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-distortion-34.mp3	44100	4684800
123	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-distortion-35.mp3	44100	4647936
124	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-distortion-36.mp3	44100	4529152
125	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-distortion-37.mp3	44100	4540416
126	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-distortion-38.mp3	44100	4550656
127	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-distortion-39.mp3	44100	4483072
128	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-distortion-40.mp3	44100	4471808
129	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-distortion-41.mp3	44100	4530176
130	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-distortion-42.mp3	44100	4541440
131	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-distortion-43.mp3	44100	4721664
132	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-none-00.mp3	44100	4721664
133	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-none-01.mp3	44100	4774912
134	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-none-02.mp3	44100	4719616
135	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-none-03.mp3	44100	4713472
136	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-none-04.mp3	44100	4652032
137	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-none-05.mp3	44100	4516864
138	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-none-06.mp3	44100	4613120
139	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-none-07.mp3	44100	4526080
140	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-none-08.mp3	44100	4470784
141	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-none-09.mp3	44100	4481024
142	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-none-10.mp3	44100	4561920
143	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-none-11.mp3	44100	4638720
144	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-none-12.mp3	44100	4655104
145	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-none-13.mp3	44100	4666368
146	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-none-14.mp3	44100	4572160
147	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-none-15.mp3	44100	4604928
148	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-none-16.mp3	44100	4512768
149	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-none-17.mp3	44100	4592640
150	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-none-18.mp3	44100	4595712
151	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-none-19.mp3	44100	4661248
152	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-none-20.mp3	44100	4645888
153	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-none-21.mp3	44100	4583424
154	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-none-22.mp3	44100	4618240
155	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-none-23.mp3	44100	4566016
156	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-none-24.mp3	44100	4571136
157	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-none-25.mp3	44100	4605952
158	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-none-26.mp3	44100	4688896
159	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-none-27.mp3	44100	4697088
160	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-none-28.mp3	44100	4669440
161	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-none-29.mp3	44100	4642816
162	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-none-30.mp3	44100	4627456
163	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-none-31.mp3	44100	4636672
164	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-none-32.mp3	44100	4649984
165	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-none-33.mp3	44100	4610048
166	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-none-34.mp3	44100	4684800
167	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-none-35.mp3	44100	4647936
168	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-none-36.mp3	44100	4529152
169	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-none-37.mp3	44100	4540416
170	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-none-38.mp3	44100	4550656
171	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-none-39.mp3	44100	4483072
172	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-none-40.mp3	44100	4471808
173	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-none-41.mp3	44100	4530176
174	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-none-42.mp3	44100	4541440
175	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-none-none-43.mp3	44100	4721664
176	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-bass-00.mp3	44100	4589568
177	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-bass-01.mp3	44100	4780032
178	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-bass-02.mp3	44100	4674560
179	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-bass-03.mp3	44100	4873216
180	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-bass-04.mp3	44100	4566016
181	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-bass-05.mp3	44100	4878336
182	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-bass-06.mp3	44100	5127168
183	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-bass-07.mp3	44100	3794944
184	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-bass-08.mp3	44100	4440064
185	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-bass-09.mp3	44100	4618240
186	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-bass-10.mp3	44100	4592640
187	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-bass-11.mp3	44100	4649984
188	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-bass-12.mp3	44100	4631552
189	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-bass-13.mp3	44100	4688896
190	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-bass-14.mp3	44100	4576256
191	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-bass-15.mp3	44100	4692992
192	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-bass-16.mp3	44100	4486144
193	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-bass-17.mp3	44100	4591616
194	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-bass-18.mp3	44100	4539392
195	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-bass-19.mp3	44100	4580352
196	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-bass-20.mp3	44100	4701184
197	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-bass-21.mp3	44100	4744192
198	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-bass-22.mp3	44100	4677632
199	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-bass-23.mp3	44100	4318208
200	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-bass-24.mp3	44100	4530176
201	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-bass-25.mp3	44100	4593664
202	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-bass-26.mp3	44100	4658176
203	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-bass-27.mp3	44100	4679680
204	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-bass-28.mp3	44100	4858880
205	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-bass-29.mp3	44100	4666368
206	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-bass-30.mp3	44100	4633600
207	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-bass-31.mp3	44100	4709376
208	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-bass-32.mp3	44100	4599808
209	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-bass-33.mp3	44100	4556800
210	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-bass-34.mp3	44100	4546560
211	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-bass-35.mp3	44100	4598784
212	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-bass-36.mp3	44100	4675584
213	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-bass-37.mp3	44100	4677632
214	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-bass-38.mp3	44100	4463616
215	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-bass-39.mp3	44100	4472832
216	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-bass-40.mp3	44100	4497408
217	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-bass-41.mp3	44100	4507648
218	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-bass-42.mp3	44100	4546560
219	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-bass-43.mp3	44100	4712448
220	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-compressor-00.mp3	44100	2860032
221	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-compressor-01.mp3	44100	4780032
222	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-compressor-02.mp3	44100	2894848
223	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-compressor-03.mp3	44100	3357696
224	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-compressor-04.mp3	44100	4566016
225	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-compressor-05.mp3	44100	4878336
226	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-compressor-06.mp3	44100	5127168
227	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-compressor-07.mp3	44100	3794944
228	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-compressor-08.mp3	44100	4440064
229	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-compressor-09.mp3	44100	2750464
230	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-compressor-10.mp3	44100	2820096
231	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-compressor-11.mp3	44100	4649984
232	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-compressor-12.mp3	44100	4631552
233	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-compressor-13.mp3	44100	4688896
234	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-compressor-14.mp3	44100	4576256
235	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-compressor-15.mp3	44100	4692992
236	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-compressor-16.mp3	44100	4486144
237	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-compressor-17.mp3	44100	2799616
238	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-compressor-18.mp3	44100	4539392
239	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-compressor-19.mp3	44100	4580352
240	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-compressor-20.mp3	44100	3204096
241	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-compressor-21.mp3	44100	4744192
242	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-compressor-22.mp3	44100	2964480
243	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-compressor-23.mp3	44100	2710528
244	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-compressor-24.mp3	44100	3148800
245	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-compressor-25.mp3	44100	4593664
246	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-compressor-26.mp3	44100	2876416
247	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-compressor-27.mp3	44100	4679680
248	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-compressor-28.mp3	44100	4858880
249	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-compressor-29.mp3	44100	4666368
250	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-compressor-30.mp3	44100	3172352
251	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-compressor-31.mp3	44100	4709376
252	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-compressor-32.mp3	44100	4599808
253	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-compressor-33.mp3	44100	4556800
254	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-compressor-34.mp3	44100	3151872
255	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-compressor-35.mp3	44100	4598784
256	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-compressor-36.mp3	44100	3202048
257	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-compressor-37.mp3	44100	3219456
258	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-compressor-38.mp3	44100	4463616
259	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-compressor-39.mp3	44100	4472832
260	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-compressor-40.mp3	44100	3042304
261	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-compressor-41.mp3	44100	2756608
262	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-compressor-42.mp3	44100	3130368
263	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-compressor-43.mp3	44100	4712448
264	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-distortion-00.mp3	44100	4589568
265	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-distortion-01.mp3	44100	4780032
266	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-distortion-02.mp3	44100	4674560
267	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-distortion-03.mp3	44100	4873216
268	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-distortion-04.mp3	44100	4566016
269	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-distortion-05.mp3	44100	4878336
270	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-distortion-06.mp3	44100	5127168
271	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-distortion-07.mp3	44100	3794944
272	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-distortion-08.mp3	44100	4440064
273	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-distortion-09.mp3	44100	4618240
274	../unmixdb/mixotic-set044-excerpts/mixes/set044mix3-resample-distortion-10.mp3	44100	4592640
