	trackname	sr	samples
35	mixotic-set044-excerpts/refsongs/pntg012-03-nushitzu-vermona.excerpt40.mp3	44100	1935360
36	mixotic-set044-excerpts/refsongs/pntg012-04-lukas_lehmann-memento_mori.excerpt40.mp3	44100	2023424
37	mixotic-set044-excerpts/refsongs/pntg012-05-ludwig_coenen-balanced_routing.excerpt40.mp3	44100	2069504
38	mixotic-set044-excerpts/refsongs/pntg012-06-item_no-liebe_im_dschungel.excerpt40.mp3	44100	1960960
39	mixotic-set044-excerpts/refsongs/pntg012-07-mabik-klickeradoms.excerpt40.mp3	44100	1954816
40	mixotic-set044-excerpts/refsongs/pntg012-08-johnny_d.-another.excerpt40.mp3	44100	1935360
41	mixotic-set044-excerpts/refsongs/pntg012-09-wego-the_other_welcome.excerpt40.mp3	44100	1921024
42	mixotic-set044-excerpts/refsongs/pntg012-10-demir-brother_for_real.excerpt40.mp3	44100	1976320
43	mixotic-set044-excerpts/refsongs/pntg012-11-kairos-tiresias.excerpt40.mp3	44100	2030592
44	mixotic-set123-excerpts/refsongs/01_Choenyi_-_PA_To_M_-_Antiritmo024.excerpt40.mp3	44100	1938432
45	mixotic-set123-excerpts/refsongs/01_Hiroshi_Oki_-_Polar_Circle_-_Antiritmo011.excerpt40.mp3	44100	1992704
46	mixotic-set123-excerpts/refsongs/01_Katsuyuki_Taguchi_-_White_Smoke_-_Antiritmo028.excerpt40.mp3	44100	1988608
47	mixotic-set123-excerpts/refsongs/01_Pepe_Arcade_-_X2_Original_Mix_-_Antiritmo017.excerpt40.mp3	44100	1940480
48	mixotic-set123-excerpts/refsongs/01_Peter_Gual_-_Cami_De_Insectes_-_Antiritmo014.excerpt40.mp3	44100	1916928
49	mixotic-set123-excerpts/refsongs/01_Roger_M_-_Entering_the_big_D_Intro_-_Antiritmo023.excerpt40.mp3	44100	2147328
50	mixotic-set123-excerpts/refsongs/01_Sascha_Muller_-_The_Book_Writer_-_Antiritmo002.excerpt40.mp3	44100	1926144
51	mixotic-set123-excerpts/refsongs/02_Hiroshi_Oki_-_Sig_Sauer_p226_-_Antiritmo011.excerpt40.mp3	44100	1993728
52	mixotic-set123-excerpts/refsongs/02_Katsuyuki_Taguchi_-_Indigoblue_-_Antiritmo028.excerpt40.mp3	44100	1973248
53	mixotic-set123-excerpts/refsongs/02_Pepe_Arcade_-_X2_Roger_M_That_Oldschool_Flavour_Mix_-_Antiritmo017.excerpt40.mp3	44100	1930240
54	mixotic-set123-excerpts/refsongs/02_Peter_Gual_-_Discutir_-_Antiritmo014.excerpt40.mp3	44100	2694144
55	mixotic-set123-excerpts/refsongs/02_Roger_M_-_Proton_-_Antiritmo023.excerpt40.mp3	44100	1898496
56	mixotic-set123-excerpts/refsongs/02_Sascha_Muller_-_In_and_Out_-_Antiritmo002.excerpt40.mp3	44100	1955840
57	mixotic-set123-excerpts/refsongs/02_Scan_Mode_-_Terre_Erre_-_Antiritmo024.excerpt40.mp3	44100	1910784
58	mixotic-set123-excerpts/refsongs/02_Vizar_-_Hypnosis_-_Antiritmo018.excerpt40.mp3	44100	2019328
59	mixotic-set123-excerpts/refsongs/03_Hiroshi_Oki_-_Vibrations_-_Antiritmo011.excerpt40.mp3	44100	1951744
60	mixotic-set123-excerpts/refsongs/03_Katsuyuki_Taguchi_-_Dimgrey_-_Antiritmo028.excerpt40.mp3	44100	2004992
61	mixotic-set123-excerpts/refsongs/03_Pepe_Arcade_-_X2_Dessben_Remix_-_Antiritmo017.excerpt40.mp3	44100	1937408
62	mixotic-set123-excerpts/refsongs/03_Peter_Gual_-_Crits_d_uralita_-_Antiritmo014.excerpt40.mp3	44100	1924096
63	mixotic-set123-excerpts/refsongs/03_Roger_M_-_Photon_-_Antiritmo023.excerpt40.mp3	44100	1978368
64	mixotic-set123-excerpts/refsongs/03_Sascha_Muller_-_Phonk_the_System_-_Antiritmo002.excerpt40.mp3	44100	1958912
65	mixotic-set123-excerpts/refsongs/03_Scan_Mode_-_Terre_Erre_Javier_Orduna_Remix_-_Antiritmo024.excerpt40.mp3	44100	2007040
66	mixotic-set123-excerpts/refsongs/03_Vizar_-_Allright_-_Antiritmo018.excerpt40.mp3	44100	1999872
67	mixotic-set123-excerpts/refsongs/04_Hermetico_-_Vision_Nocturna_-_Antiritmo24.excerpt40.mp3	44100	1992704
68	mixotic-set123-excerpts/refsongs/04_Hiroshi_Oki_-_Unagui_-_Antiritmo011.excerpt40.mp3	44100	1940480
69	mixotic-set123-excerpts/refsongs/04_Katsuyuki_Taguchi_-_Azure_-_Antiritmo028.excerpt40.mp3	44100	2032640
70	mixotic-set123-excerpts/refsongs/04_Pepe_Arcade_-_X2_Hiroshi_Oki_Remix_-_Antiritmo017.excerpt40.mp3	44100	1963008
71	mixotic-set123-excerpts/refsongs/04_Peter_Gual_-_Altres_Llums_-_Antiritmo014.excerpt40.mp3	44100	2084864
72	mixotic-set123-excerpts/refsongs/04_Roger_M_-_Freakxpress_yourself_-_Antiritmo023.excerpt40.mp3	44100	1940480
73	mixotic-set123-excerpts/refsongs/04_Sascha_Muller_-_Vorlauffunktion_-_Antiritmo002.excerpt40.mp3	44100	2618368
74	mixotic-set123-excerpts/refsongs/04_Vizar_-_Ghosts_-_Antiritmo018.excerpt40.mp3	44100	1929216
75	mixotic-set123-excerpts/refsongs/05_John_Lagora_-_The_Closed_Circle_-_Antiritmo024.excerpt40.mp3	44100	2034688
76	mixotic-set123-excerpts/refsongs/05_Roger_M_-_Leaving_the_big_D_Outro_-_Antiritmo023.excerpt40.mp3	44100	2132992
77	mixotic-set123-excerpts/refsongs/05_Vizar_-_Mechanism_-_Antiritmo018.excerpt40.mp3	44100	2000896
78	mixotic-set123-excerpts/refsongs/06_Dejersey_-_Chopper_-_Antiritmo024.excerpt40.mp3	44100	2089984
79	mixotic-set123-excerpts/refsongs/07_Sr_Click_-_Tibetan_-_Antiritmo024.excerpt40.mp3	44100	1931264
80	mixotic-set123-excerpts/refsongs/08_Banding_-_Eula_-_Antiritmo024.excerpt40.mp3	44100	1984512
81	mixotic-set222-excerpts/refsongs/2_DML_-_Fin_Suedmilch_Remix.excerpt40.mp3	44100	2029568
82	mixotic-set222-excerpts/refsongs/[thn109]-320-01-gaston_arevalo_-_austral.excerpt40.mp3	44100	2129920
83	mixotic-set222-excerpts/refsongs/Bactee_Tito_-_Shap_(get-tune.net).excerpt40.mp3	44100	1946624
84	mixotic-set222-excerpts/refsongs/brq50_max_cavalerra_-_the_bigger_the_better_ep_-_02_function.excerpt40.mp3	44100	2124800
85	mixotic-set222-excerpts/refsongs/brq60_niedermeier__whitehead_-_01_she_is.excerpt40.mp3	44100	2027520
86	mixotic-set222-excerpts/refsongs/brq60_niedermeier__whitehead_-_02_she_is_douglas_greed_rmx.excerpt40.mp3	44100	2794496
87	mixotic-set222-excerpts/refsongs/brq60_niedermeier__whitehead_-_05_she_is_landschall_rmx.excerpt40.mp3	44100	2069504
88	mixotic-set222-excerpts/refsongs/DML_-_Arbeitstitel.excerpt40.mp3	44100	2053120
89	mixotic-set222-excerpts/refsongs/Max_Cavalerra_-_Bullet_Of_Choice_Co-Produced_By_Patrick_Baer_(get-tune.net).excerpt40.mp3	44100	1931264
90	mixotic-set222-excerpts/refsongs/mr-cloudy-long-wandering-marko-fürstenberg-rmx(myfreesong.net).excerpt40.mp3	44100	2040832
91	mixotic-set222-excerpts/refsongs/Mr. Cloudy-Polus (We Arrived) (www.myfreemp3.cc).excerpt40.mp3	44100	1953792
92	mixotic-set222-excerpts/refsongs/Patrick Diessner-Schattenwurf (www.myfreemp3.cc).excerpt40.mp3	44100	2066432
93	mixotic-set222-excerpts/refsongs/Zimmer046.5_Andreas_Florin_-_lost_horizon_deep_mix.excerpt40.mp3	44100	1929216
94	mixotic-set230-excerpts/refsongs/DN005_01_chris_air_-_7th_son.excerpt40.mp3	44100	1984512
95	mixotic-set230-excerpts/refsongs/DN005_02_antonio_bruno_-_right_here.excerpt40.mp3	44100	2085888
96	mixotic-set230-excerpts/refsongs/DN005_03_daniel_stefanik_-_dubplate.excerpt40.mp3	44100	2141184
97	mixotic-set230-excerpts/refsongs/DN005_04_laplaceausoleil_-_neues_spiel_neues_glueck.excerpt40.mp3	44100	2099200
98	mixotic-set230-excerpts/refsongs/DN005_05_dieter_krause_-_play.excerpt40.mp3	44100	1999872
99	mixotic-set230-excerpts/refsongs/DN005_06_frank_hellmond_-_freihand.excerpt40.mp3	44100	1983488
100	mixotic-set230-excerpts/refsongs/DN005_07_lod_-_psicodelia.excerpt40.mp3	44100	1988608
101	mixotic-set230-excerpts/refsongs/DN005_08_dreiton_-_boom.excerpt40.mp3	44100	1884160
102	mixotic-set230-excerpts/refsongs/DN006_01_kugeldreher.excerpt40.mp3	44100	2011136
103	mixotic-set230-excerpts/refsongs/DN006_02_honigmilch.excerpt40.mp3	44100	2129920
104	mixotic-set230-excerpts/refsongs/DN006_03_schubumkehr.excerpt40.mp3	44100	2123776
105	mixotic-set230-excerpts/refsongs/DN006_04_honigmilch_-_bruno_mix.excerpt40.mp3	44100	2129920
106	mixotic-set230-excerpts/refsongs/DN015_01-dreiton - intro.excerpt40.mp3	44100	1863680
107	mixotic-set230-excerpts/refsongs/DN015_02-caja de pelotas - en la zona del silencio CHMA edit.excerpt40.mp3	44100	1986560
108	mixotic-set230-excerpts/refsongs/DN015_03-christoph schindling - diving.excerpt40.mp3	44100	2443264
109	mixotic-set230-excerpts/refsongs/DN015_04-antonio bruno - morning.excerpt40.mp3	44100	2067456
110	mixotic-set230-excerpts/refsongs/DN015_05-einklang freier frequenzen - d ance u ntill b eautiful.excerpt40.mp3	44100	1969152
111	mixotic-set230-excerpts/refsongs/DN015_06-dieter krause - music for an imaginary movie.excerpt40.mp3	44100	1958912
112	mixotic-set230-excerpts/refsongs/DN015_07-freeformtracking - soleruff.excerpt40.mp3	44100	2169856
113	mixotic-set230-excerpts/refsongs/DN015_08-neal white - untitled   ( c.  freizeitglauben).excerpt40.mp3	44100	1944576
114	mixotic-set230-excerpts/refsongs/DN015_09-laplaceausoleil vs. britta keil - regardless (a_b remix).excerpt40.mp3	44100	2031616
115	mixotic-set230-excerpts/refsongs/DN015_10-nitro - pluton.excerpt40.mp3	44100	2003968
116	mixotic-set230-excerpts/refsongs/DN020-01_idealist_recycle3_320mp3.excerpt40.mp3	44100	1987584
117	mixotic-set230-excerpts/refsongs/DN020-02_bekeschus feat. knouchzone_reden ist silber_320mp3.excerpt40.mp3	44100	2131968
118	mixotic-set230-excerpts/refsongs/DN020-03_antoniobruno_miniprojekt_320mp3.excerpt40.mp3	44100	1941504
119	mixotic-set230-excerpts/refsongs/DN020-04_belektron_failgracefully_320mp3.excerpt40.mp3	44100	1964032
120	mixotic-set230-excerpts/refsongs/DN020-05_christoph schindling_most important_320mp3.excerpt40.mp3	44100	2055168
121	mixotic-set230-excerpts/refsongs/DN020-06_einklang freier frequenzen_can stop_320mp3.excerpt40.mp3	44100	2025472
122	mixotic-set230-excerpts/refsongs/DN020-07_martin tenschert_pad problaem_320mp3.excerpt40.mp3	44100	1942528
123	mixotic-set230-excerpts/refsongs/DN020-08_frank hellmond vs. britta keil_ zwei sommer_abrmx_320mp3.excerpt40.mp3	44100	1999872
124	mixotic-set230-excerpts/refsongs/DN020-09_ferrochrom_blue_320mp3.excerpt40.mp3	44100	1899520
125	mixotic-set230-excerpts/refsongs/DN020-10_two unknown guys_thunderbird_320mp3.excerpt40.mp3	44100	1932288
126	mixotic-set230-excerpts/refsongs/DN020-11_rainer mauch_winter_320mp3.excerpt40.mp3	44100	1996800
127	mixotic-set230-excerpts/refsongs/DN020-12_the marx trukker_erfurt_320mp3.excerpt40.mp3	44100	2053120
128	mixotic-set230-excerpts/refsongs/DN020-13_moho_little about m_320mp3.excerpt40.mp3	44100	1984512
129	mixotic-set230-excerpts/refsongs/thn001-01-pheek_-_interlude.excerpt40.mp3	44100	2033664
130	mixotic-set230-excerpts/refsongs/thn001-02-thomas_jaldemark_-_highway_patrol.excerpt40.mp3	44100	2018304
131	mixotic-set230-excerpts/refsongs/thn001-03-digitalverein_-_abends_am_gasturm.excerpt40.mp3	44100	2114560
132	mixotic-set230-excerpts/refsongs/thn003-01-k.hammer.hansen_-_sun_spots.excerpt40.mp3	44100	2051072
133	mixotic-set230-excerpts/refsongs/thn003-02-k.hammer.hansen_-_drift.excerpt40.mp3	44100	1942528
134	mixotic-set230-excerpts/refsongs/thn003-03-k.hammer.hansen_-_whats_dub.excerpt40.mp3	44100	1965056
135	mixotic-set230-excerpts/refsongs/thn004-01-curse_-_most_of_here.excerpt40.mp3	44100	1907712
136	mixotic-set230-excerpts/refsongs/thn004-02-curse_-_veja_due.excerpt40.mp3	44100	1976320
137	mixotic-set230-excerpts/refsongs/thn005-01-rktic_-_geiger_radio.excerpt40.mp3	44100	2333696
138	mixotic-set230-excerpts/refsongs/thn005-02-rktic_-_spaces_in_spaces.excerpt40.mp3	44100	2009088
139	mixotic-set230-excerpts/refsongs/thn005-03-rktic_-_riding_the_pipeline.excerpt40.mp3	44100	1965056
140	mixotic-set230-excerpts/refsongs/thn005-04-rktic_-_the_opposite_of.excerpt40.mp3	44100	2004992
141	mixotic-set230-excerpts/refsongs/thn005-05-rktic_-_a_walk_on_deep_snow.excerpt40.mp3	44100	1972224
142	mixotic-set230-excerpts/refsongs/thn005-06-rktic_-_evolving_north.excerpt40.mp3	44100	2022400
143	mixotic-set230-excerpts/refsongs/thn006-01-nulleins_-_soulsurfer.excerpt40.mp3	44100	2088960
144	mixotic-set230-excerpts/refsongs/thn006-02-nulleins_-_wave.excerpt40.mp3	44100	2020352
145	mixotic-set230-excerpts/refsongs/thn006-03-nulleins_-_tiefrot.excerpt40.mp3	44100	1967104
146	mixotic-set230-excerpts/refsongs/thn006-04-nulleins_-_pilafs_sleepy.excerpt40.mp3	44100	1987584
147	mixotic-set230-excerpts/refsongs/thn007-01-benfay_-_carbon.excerpt40.mp3	44100	2157568
148	mixotic-set230-excerpts/refsongs/thn007-02-benfay_-_bonnie_mandarin.excerpt40.mp3	44100	1967104
149	mixotic-set230-excerpts/refsongs/thn007-03-benfay_-_calamine_click.excerpt40.mp3	44100	1954816
150	mixotic-set230-excerpts/refsongs/thn008-01-dolby_-_he0r.excerpt40.mp3	44100	2028544
151	mixotic-set230-excerpts/refsongs/thn008-02-dolby_-_m1.excerpt40.mp3	44100	1991680
152	mixotic-set230-excerpts/refsongs/thn008-03-dolby_-_x09.excerpt40.mp3	44100	1994752
153	mixotic-set230-excerpts/refsongs/thn008-04-dolby_-_outward.excerpt40.mp3	44100	2070528
154	mixotic-set230-excerpts/refsongs/thn010-01-benfay_-_smokey.excerpt40.mp3	44100	2028544
155	mixotic-set230-excerpts/refsongs/thn010-02-selffish_-_oblivion.excerpt40.mp3	44100	2019328
156	mixotic-set230-excerpts/refsongs/thn010-03-chimera_-_compulsion.excerpt40.mp3	44100	1969152
157	mixotic-set230-excerpts/refsongs/thn010-04-sebastian_redenz_-_illusion.excerpt40.mp3	44100	2065408
158	mixotic-set230-excerpts/refsongs/thn010-05-subq_vs_th0ke_-_basictoys_remix.excerpt40.mp3	44100	2028544
159	mixotic-set230-excerpts/refsongs/thn010-06-timo_saikkonen_-_pau.excerpt40.mp3	44100	1978368
160	mixotic-set275-excerpts/refsongs/01.Echoton_GibDeBudda.excerpt40.mp3	44100	2094080
161	mixotic-set275-excerpts/refsongs/01.Stereopathy_Scent.excerpt40.mp3	44100	2080768
162	mixotic-set275-excerpts/refsongs/01_F.l.o._-_______.excerpt40.mp3	44100	1978368
163	mixotic-set275-excerpts/refsongs/01_kwartz_-_introduction_to_spiral.excerpt40.mp3	44100	1921024
164	mixotic-set275-excerpts/refsongs/01_ritzi_lee_-_hotfixx_panic_edit.excerpt40.mp3	44100	1972224
165	mixotic-set275-excerpts/refsongs/01_the_thinker_-_machines_are_us.excerpt40.mp3	44100	2296832
166	mixotic-set275-excerpts/refsongs/02.Echoton_Heut_Nacht.excerpt40.mp3	44100	1991680
167	mixotic-set275-excerpts/refsongs/02.Stereopathy_Slow_Excitment.excerpt40.mp3	44100	2086912
168	mixotic-set275-excerpts/refsongs/02_F.l.o._-_Food_for_Thought.excerpt40.mp3	44100	2030592
169	mixotic-set275-excerpts/refsongs/02_kwartz_-_spiral_of_silence.excerpt40.mp3	44100	2028544
170	mixotic-set275-excerpts/refsongs/02_oliver_kucera_-_stand_your_ground.excerpt40.mp3	44100	2009088
171	mixotic-set275-excerpts/refsongs/02_the_thinker_-_world_revolution.excerpt40.mp3	44100	1918976
172	mixotic-set275-excerpts/refsongs/03.Echoton_Mimic.excerpt40.mp3	44100	1960960
173	mixotic-set275-excerpts/refsongs/03.Stereopathy_Glam_Gloom.excerpt40.mp3	44100	2027520
174	mixotic-set275-excerpts/refsongs/03_diarmaid_o_meara_ -_revolving_around_a_crisis.excerpt40.mp3	44100	2080768
175	mixotic-set275-excerpts/refsongs/03_F.l.o._-_Tegula.excerpt40.mp3	44100	1935360
176	mixotic-set275-excerpts/refsongs/03_kwartz_-_silence_turns_to_violence.excerpt40.mp3	44100	2024448
177	mixotic-set275-excerpts/refsongs/03_the_thinker_-_the_automaton.excerpt40.mp3	44100	2006016
178	mixotic-set275-excerpts/refsongs/04-Echoton_SoJus.excerpt40.mp3	44100	1953792
179	mixotic-set275-excerpts/refsongs/04.Stereopathy_Sensory Overload.excerpt40.mp3	44100	2022400
180	mixotic-set275-excerpts/refsongs/04_F.l.o._-_Be_True.excerpt40.mp3	44100	2041856
181	mixotic-set275-excerpts/refsongs/04_kwartz_-_silence_turns_to_violence_scouts_in_bondage_remix.excerpt40.mp3	44100	2013184
182	mixotic-set275-excerpts/refsongs/04_rfs_-_endh.excerpt40.mp3	44100	2111488
183	mixotic-set275-excerpts/refsongs/04_the_thinker_-_granite.excerpt40.mp3	44100	1996800
184	mixotic-set275-excerpts/refsongs/05_F.l.o._-_Ganymed.excerpt40.mp3	44100	2112512
185	mixotic-set275-excerpts/refsongs/05_kwartz_-_silence_turns_to_violence_cbto_deep_field.excerpt40.mp3	44100	2068480
186	mixotic-set275-excerpts/refsongs/05_sigma_zigurat_-_mechanic.excerpt40.mp3	44100	1923072
187	mixotic-set275-excerpts/refsongs/05_the_thinker_-_world_revolution_hyo_remix.excerpt40.mp3	44100	1953792
188	mixotic-set275-excerpts/refsongs/06_drugstore_-_horus.excerpt40.mp3	44100	1984512
189	mixotic-set275-excerpts/refsongs/06_F.l.o._-_Hidden_Path.excerpt40.mp3	44100	2034688
190	mixotic-set275-excerpts/refsongs/06_kwartz_-_silence_turns_to_violence_drugstore_remix.excerpt40.mp3	44100	1977344
191	mixotic-set275-excerpts/refsongs/06_the_thinker_-_the_automaton_drugstore_remix.excerpt40.mp3	44100	1984512
192	mixotic-set275-excerpts/refsongs/07_F.l.o._-_You_Suck.excerpt40.mp3	44100	2029568
193	mixotic-set275-excerpts/refsongs/08_F.l.o._-_Vega.excerpt40.mp3	44100	2084864
194	mixotic-set275-excerpts/refsongs/09_F.l.o._-_Food_for_Thought(Slownoise_Remix).excerpt40.mp3	44100	1999872
195	mixotic-set275-excerpts/refsongs/10_F.l.o._-_Food_for_Thought(SoulSonic_Remix).excerpt40.mp3	44100	2107392
196	mixotic-set275-excerpts/refsongs/Atabey - Deep Phase [Markus Masuhr Reconstruction].excerpt40.mp3	44100	1939456
197	mixotic-set275-excerpts/refsongs/Atabey - Deep Phase.excerpt40.mp3	44100	1935360
198	mixotic-set275-excerpts/refsongs/atabey - dicayagua [markus masuhr reshape reduktion].excerpt40.mp3	44100	1932288
199	mixotic-set275-excerpts/refsongs/atabey - dicayagua.excerpt40.mp3	44100	2011136
200	mixotic-set275-excerpts/refsongs/atabey - jungle forest [markus masuhr variance edit].excerpt40.mp3	44100	2104320
201	mixotic-set275-excerpts/refsongs/atabey - jungle forest.excerpt40.mp3	44100	3001344
202	mixotic-set275-excerpts/refsongs/atabey - la jagua [bjorn rohde remix].excerpt40.mp3	44100	2033664
203	mixotic-set275-excerpts/refsongs/atabey - la jagua [tantricman remix].excerpt40.mp3	44100	1850368
204	mixotic-set275-excerpts/refsongs/atabey - la jagua.excerpt40.mp3	44100	1855488
205	mixotic-set275-excerpts/refsongs/Atabey - Vast Plexity [Markus Masuhr Pattern Structure Edit].excerpt40.mp3	44100	2119680
206	mixotic-set275-excerpts/refsongs/Atabey - Vast Plexity.excerpt40.mp3	44100	1966080
207	mixotic-set275-excerpts/refsongs/Atabey - Virus Black Hole [Markus Masuhr Adaption].excerpt40.mp3	44100	1963008
208	mixotic-set275-excerpts/refsongs/Atabey - Virus Black Hole.excerpt40.mp3	44100	2576384
209	mixotic-set275-excerpts/refsongs/Krisz Deak-Simple Life www.myfreemp3.space .excerpt40.mp3	44100	2084864
210	mixotic-set275-excerpts/refsongs/Roberto Figus - Love Deeply (Atabey Mix].excerpt40.mp3	44100	1940480
211	mixotic-set275-excerpts/refsongs/Roberto Figus - Love Deeply [Markus Masuhr Rework].excerpt40.mp3	44100	1992704
212	mixotic-set275-excerpts/refsongs/Roberto Figus - Love Deeply.excerpt40.mp3	44100	1939456
213	mixotic-set275-excerpts/refsongs/Roberto Figus - The Soft Wind (Atabey Mix).excerpt40.mp3	44100	1965056
214	mixotic-set275-excerpts/refsongs/Roberto Figus - The Soft Wind (Atabey ReEdit).excerpt40.mp3	44100	2843648
215	mixotic-set275-excerpts/refsongs/Roberto Figus - The Soft Wind (Onka Onichi Mix).excerpt40.mp3	44100	2087936
216	mixotic-set275-excerpts/refsongs/Roberto Figus - The Soft Wind [Markus Masuhr Substraktive Additive Version].excerpt40.mp3	44100	2041856
217	mixotic-set275-excerpts/refsongs/Roberto Figus - The Soft Wind.excerpt40.mp3	44100	2014208
218	mixotic-set281-excerpts/refsongs/01 - Mr.Dee - Evil Angel (Original Mix).excerpt40.mp3	44100	1929216
219	mixotic-set281-excerpts/refsongs/01.BrandonPlank-TheArchitect.excerpt40.mp3	44100	1936384
220	mixotic-set281-excerpts/refsongs/01_altechmist_-_intercambio_equivalente.excerpt40.mp3	44100	2057216
221	mixotic-set281-excerpts/refsongs/01_kreislauf052.excerpt40.mp3	44100	2029568
222	mixotic-set281-excerpts/refsongs/02 - Mr.Dee - Evil Angel (s!ckness Remix).excerpt40.mp3	44100	2021376
223	mixotic-set281-excerpts/refsongs/02.BrandonPlank-ThatsHot.excerpt40.mp3	44100	1921024
224	mixotic-set281-excerpts/refsongs/02_altechmist_-_erroneous_connection.excerpt40.mp3	44100	2014208
225	mixotic-set281-excerpts/refsongs/02_kreislauf052.excerpt40.mp3	44100	1932288
226	mixotic-set281-excerpts/refsongs/03 - Mr.Dee - Evil Angel (Hollmspeed Remix).excerpt40.mp3	44100	2019328
227	mixotic-set281-excerpts/refsongs/03.BrandonPlank-SieTanzen.excerpt40.mp3	44100	1972224
228	mixotic-set281-excerpts/refsongs/03_altechmist_-_underforest_techno.excerpt40.mp3	44100	2003968
229	mixotic-set281-excerpts/refsongs/03_kreislauf052.excerpt40.mp3	44100	2039808
230	mixotic-set281-excerpts/refsongs/04 - Mr.Dee - Evil Angel (Syntech Vedeneev Remix).excerpt40.mp3	44100	1950720
231	mixotic-set281-excerpts/refsongs/04_kreislauf052.excerpt40.mp3	44100	1932288
232	mixotic-set281-excerpts/refsongs/05 - Mr.Dee - Evil Angel (Oleg Pw Remix).excerpt40.mp3	44100	1931264
233	mixotic-set281-excerpts/refsongs/06 - Mr.Dee - Evil Angel (MilKos Remix).excerpt40.mp3	44100	1990656
